city_id,empirical_cluster,output_decomp_centered_estimated_cluster,output_decomp_centered_profile_corr,output_decomp_no_center_estimated_cluster,output_decomp_no_center_profile_corr,series_index
0,0,2,0.4202328478933431,0,0.8120218839195901,0
0,2,0,0.11346935837081204,2,0.5816977123031598,1
0,2,1,0.1035051981441319,1,0.38742514354327057,2
0,0,1,0.407090953771361,1,0.1587797183051627,3
0,2,1,0.2784170257235927,1,0.21453177204084273,4
0,2,1,0.3113919761051381,0,0.5096682848953551,5
0,1,1,-0.1707180495431191,1,0.5128024426363992,6
0,3,1,0.6361900357593239,0,-0.07601554457758022,7
0,2,0,0.21779223879859116,0,0.7184146602609329,8
0,2,0,0.14015967299161586,2,0.6360597718064326,9
0,1,1,-0.22680915831335996,1,0.45253993215612065,10
0,2,1,0.24258403740645149,0,0.41808350879637957,11
0,2,2,0.16462630646126195,3,0.8408045815944006,12
0,2,3,0.029698187879973314,1,0.10817243457715095,13
0,2,3,0.10538096957272494,2,0.4728838021499343,14
0,2,0,0.18234164574240996,0,0.6287771711030706,15
0,2,0,0.019025589625615694,2,0.4853034004876135,16
0,0,2,0.5368087983462165,2,0.761994917655745,17
0,0,0,0.3807610633579995,3,0.7578167875928552,18
0,1,2,-0.10667763401082793,3,0.8278905795796696,19
0,2,3,0.08891849404898926,1,0.3891073532273721,20
0,2,1,0.2824261629416577,1,0.43316409364589126,21
0,2,0,-0.009179225297222822,3,0.7672958439113593,22
0,3,3,0.2653343628703645,3,0.6310427632486895,23
0,2,1,0.25129250322697416,0,0.4574900168389935,24
0,2,1,0.1522989172837277,1,0.3395671712167343,25
0,0,3,0.12452721633824618,1,0.31239580955265056,26
0,0,1,0.3138163282775044,1,0.33972134074781946,27
0,2,0,0.1543239019084999,2,0.618986696952813,28
0,2,3,-0.014581830558680509,2,0.49662432750410046,29
0,3,3,0.46729587403804923,3,0.5410099819566069,30
0,2,0,0.2732558915677718,3,0.6991832591607647,31
0,1,1,-0.2531744695721624,1,0.5594971471289977,32
0,2,3,-0.11516571446285967,1,0.5736629667003592,33
0,0,0,0.5413588966543861,3,0.7589881055117983,34
0,2,1,-0.03192249481641575,1,0.5415446246160202,35
0,0,1,0.5031384000062036,1,0.017393084455305016,36
0,2,1,0.002301205052062008,1,0.4799719955442348,37
0,0,2,0.6773672512114247,1,-0.09721580568476457,38
0,1,3,-0.23968806893408123,3,0.6531611059547385,39
0,2,1,0.19408517127196026,1,0.12536494878632592,40
0,1,1,-0.4483663454654577,3,0.8118560152796496,41
0,2,0,0.2626129234691287,3,0.8376583414241348,42
0,2,3,-0.04722612388646068,3,0.8083904609939705,43
0,2,1,-0.14517971290224743,1,0.5664194077643758,44
0,2,3,0.07072760015040731,1,0.3388746457087837,45
0,2,1,-0.08087856336775756,2,0.5576434469448502,46
0,0,3,0.43610440622810354,0,0.2919766808604065,47
0,2,3,-0.03114424941795562,2,0.6445427732824829,48
0,0,3,0.3874179541047841,0,0.23389449635580956,49
0,0,2,0.652813106560401,0,0.39488228266918224,50
0,0,2,0.6075371689416879,0,0.24637586131722294,51
0,0,2,0.6170392281688462,1,0.14801848151685973,52
0,0,1,0.3731227329993621,1,0.1890848377908281,53
0,0,3,0.1763314324323794,1,0.09709409855769116,54
0,0,1,0.33938068380448205,1,0.2598349775114097,55
0,2,3,0.1658305559265928,0,0.33082316392574684,56
0,1,3,-0.5883904290389184,1,0.5926274991585351,57
0,0,3,0.21258831097346273,1,0.41294592399630714,58
0,2,1,-0.018700795099516762,1,0.06404600594121634,59
0,2,2,0.2451955505257959,3,0.6633283300769927,60
0,0,1,0.3733840371736288,0,0.5111664312749276,61
0,0,0,0.3761660243581832,0,0.5723907791287579,62
0,2,1,0.013512935804232636,1,0.25606234606909367,63
0,0,2,0.5069414855768101,1,0.19641918921649185,64
0,2,1,0.051144854371036594,1,0.4816019047249404,65
0,2,3,-0.14220968754129187,2,0.46097226047661377,66
0,2,3,0.19552989675601426,2,0.568123780022463,67
0,2,3,0.16997806540324797,3,0.836574222911892,68
0,0,3,0.22962876222271345,1,0.08269742094938339,69
0,2,1,0.18631159562261912,0,0.5956832729083044,70
0,0,1,0.36926925966337787,0,0.4955025997673272,71
0,1,2,0.14425143692530978,1,0.6603424620515682,72
0,0,0,0.10661605534851407,2,0.638521440147047,73
0,2,2,0.5294725689274932,3,0.9404388686988933,74
0,2,0,0.2245838950000245,2,0.6449881970351807,75
0,0,1,0.3509204634209391,0,0.3148335036752049,76
0,3,0,0.5552687050706401,0,0.1594760711295095,77
0,3,3,0.4196533251557134,3,0.5320834403697686,78
0,3,1,0.6790648681871094,0,-0.15192997291063254,79
0,2,0,0.20654228505699807,0,0.4353854115962197,80
0,0,0,0.5522240192779867,0,0.26529762596660766,81
0,0,2,0.4936313531649595,0,0.5364998295610278,82
0,2,0,0.25417812830069547,0,0.43293763658460005,83
0,3,3,0.3497276483096321,0,0.13663336222687236,84
0,3,0,0.7346725170145549,3,0.34350379160742617,85
0,2,2,0.1413119079359199,0,0.5834771692057877,86
0,0,1,0.2424134131322198,1,0.31662090963981865,87
0,1,1,-0.17572818784878008,0,0.7357635408150576,88
0,2,3,-0.030687877263412475,3,0.88204110517481,89
0,2,2,0.3887650422841415,3,0.6762992128643223,90
0,0,1,0.5030426862534575,1,-0.20592405052312832,91
0,2,0,0.3359928435242605,0,0.7443806978040761,92
0,0,3,0.3481156414127033,0,0.19685403418115205,93
0,2,0,0.3124490698019494,3,0.834152341297274,94
0,0,0,0.5734232170377671,0,0.12278166371691446,95
0,3,2,0.5561562895101291,0,0.2463969612998591,96
0,2,0,0.33214901091209703,3,0.7407579146006933,97
0,2,0,0.1784037022421629,0,0.6960181192268792,98
0,3,0,0.44115980506944563,0,0.2775081757360176,99
